Job Title,Company,Location,Experience,Posted,Description,Skills
Analyst,Crisil,"Mumbai, Pune",0-1 Yrs,5 days ago,The successful candidate should have a minimum of 1 year of experience in credit financ...,"Data analysis, Financial reporting, Bloomberg, Financial analysis, Analytical, Credit analysis, Financial statement analysis, Financial modelling"
Analyst,Crisil,Pune,2-5 Yrs,5 days ago,Required Skills & Qualifications Competence in reporting tools and dashboard creation (...,"Capacity management, Administration, Site management, Automation, Process improvement, data integrity, Operations, Analytics"
Analyst / Associate,Singhi Advisors,"Mumbai, New Delhi, Bengaluru",1-2 Yrs,1 week ago,MBA / PGDM -Finance from premier Institute CA / CFA (with Articleship experience from B...,"Due diligence, Financial statements, Networking, Equity research, MIS, Project management, Analytical, Corporate finance"
MIS Executive,Rapidue Technologies,Hyderabad,3-6 Yrs,2 days ago,"The MIS Executive Finance is responsible for managing financial data, generating repor...","Financial Reporting, Financial Planning, MIS Reporting, Financial Analysis, Budgeting And Forecasting, Strong Analytical Skills, Financial Management, Analysis"
MIS - Executive,Balkrishna Industries (BKT),Mumbai(Lower Parel),3-8 Yrs,2 days ago,Key Responsibilities:*Provide detailed reports to Management for existing / new client ...,"Sales Analysis, Sales Mis, MIS Operations, Sales Analytics, MIS, MIS Preparation, MIS Development, MIS Reporting"
MIS Analyst,IntouchCX,Hyderabad,3-5 Yrs,6 days ago,About the JobThe MIS Analyst is an integral role within Global Service Desk and is resp...,"sql, bi tools, mis, data analytics, vba, hlookup, bi, vlookup"
Record To Report Ops Analyst,Accenture,Bengaluru,3-5 Yrs,6 days ago,Skill required: Record To Report - Intercompany Account Reconciliation,"service operations, journal entries, forecasting, reporting analysis, record to report, hlookup, macros, data analysis"
Offshore OT Analyst,Leading Client,"Hybrid - Mumbai, Bengaluru",4-9 Yrs,1 day ago,A degree in Industrial Engineering Instrumentation engineering or BE with certification...,"iec, siem, industrial automation, ic, firewall, analytical method development, ftir, networking"
RR-0205014 Nexthink Analyst SCB,E-data Systems,Bengaluru,2-4 Yrs,1 day ago,Build understanding of business and operational strategies and identify critical metric...,"Project management, Social media, power bi, Data quality, Management, Troubleshooting, Powerpoint, Operations"
MIS Analyst,Improve Business Solutions,Hyderabad(Madhapur),1-4 Yrs,1 week ago,Night Shifts ( Male Candidates only) . Looking for a candidate who has a minimum of 1-4...,"VLOOKUP, Advanced Excel, MIS Reporting, Client Management, Communication Skills, MIS Operations, Data Management, Data Analysis"
Record To Report Ops Analyst,Accenture,Navi Mumbai,3-5 Yrs,1 week ago,Qualifications: Any Graduation Skill required: Reinsurance - Collections Processing . Y...,"service operations, vlookup, reinsurance, reporting analysis, record to report, hlookup, macros, data analysis"
Record To Report Ops Analyst,Accenture,Gurugram,3-5 Yrs,1 week ago,Skill required: Reinsurance - Life Insurance . Years of Experience: 3 to 5 years . Abou...,"service operations, reinsurance, life insurance, reporting analysis, record to report, hlookup, macros, data analysis"
MIS Executive,Spectrum Electrical Industries,"Jalgaon, Mumbai",1-5 Yrs,1 week ago,"Maintain BOM, Routing, and Machine Master data in coordination with Engineering / Plann...","Data Analysis tools, Report Preparation, Advanced Excel, Visualization Technologies, Dashboards, Report Automation, SAP, Data Interpretation"
MIS Analyst,Vipul Organics,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",5-10 Yrs,1 week ago,"Ensure the integrity, accuracy, and maintenance of all factory-related master dataRequi...","Power Bi, Google Apps Script, Advanced Excel, Data Analysis, Dashboards, Google Sheets, Business Intelligence, Vba Coding"
Senior Analyst - FP&A,Reuters,"Mumbai, Hyderabad",2-6 Yrs,3+ weeks ago,Shift Timings: 2 PM to 11 PM (IST) . Work from office for 2 days in a week(Mandatory) ...,"Journal entries, Financial reporting, Networking, Financial analysis, Business analysis, CMA, Analytical, Financial planning"
Analyst,Cheemas Oaktree Group,Hyderabad,1-5 Yrs,2 weeks ago,Flexible and team-oriented with strong integrity and professionalism. Education . A bac...,"Analytical skills, Communication protocols, Collateral management, Regulatory reporting, XML, Trade settlements, Reconciliation, HR"
Analyst,eClerx,Pune,0-2 Yrs,2 weeks ago,"At eClerx, we believe in nurturing talent and providing hands-on experience. . eClerx F...","investment banking, capital market, derivatives, investment banking operations, fixed income, settlements, trading, data management"
Analyst,Barclays,Chennai,0-8 Yrs,3+ weeks ago,"Experience in Financial Reporting, Regulatory reporting and Control, Planning and / or ...","SAP, Data management, Financial reporting, Senior Analyst, Project management, Scrum, Business intelligence, Continuous improvement"
SRA - BFSI Sector Analyst,Crisil,Mumbai,3-6 Yrs,3+ weeks ago,"The candidate should be able to build and maintain relationships with investment banks,...","Industry research, Bfsi, NBFC, Senior Analyst, Financial analytics, Report writing, Banking, Research"
ESG Analyst,Solaron Sustainability,Bengaluru,2-7 Yrs,3+ weeks ago,Experience in business / industry research and exposure to both secondary and primary r...,"primary research, industry research, eye for detail, research analyst, working, company, analytical skills, excellent communication"
Insights Analyst,Convegenius Edu,Bengaluru,4-9 Yrs,3+ weeks ago,Minimum Qualifications & Experience Minimum 4+ years sectors preferred. of experience i...,"Health insurance, Google Analytics, Data modeling, MIS, Analytical, E-governance, Data collection, Business intelligence"
Asia LEC - Analyst,JPMorgan Chase Bank,Bengaluru,0-10 Yrs,3 weeks ago,"Bachelor s degree in Accounting, Finance or related business field. Proficient Excel sk...","Financial statements, Financial control, Regulatory reporting, Financial reporting, Accounting, Analytical, Reconciliation, Legal"
Analyst,Center Study Science Technology Policy,Bengaluru,1-2 Yrs,3+ weeks ago,The candidate must be well-versed in the technical and policy aspects of climate change...,"Project development, Data analysis, Literature, Analytical, Report writing, Research, MS Office, Application Analyst"
FP&A Analyst CA,Tyasuite Software Solutions,Bengaluru,2-5 Yrs,3+ weeks ago,": CA with 2-5 years of experience in FP&A, business finance within IT industry Proficie...","Data management, Financial reporting, Financial analysis, Business Finance, Analytical, Advanced Excel, data visualization, Forecasting"
FP&A O&G Decomissioning Analyst,BP INCORPORATE INTERNATIONAL.,Pune,5-10 Yrs,3+ weeks ago,The incumbent would be potentially required to work under alternative shift arrangement...,"SAP, Financial reporting, Financial analysis, Financial planning, Business planning, Cost estimation, Forecasting, Operations"
Analyst,Inspira Enterprise India,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",0-2 Yrs,3+ weeks ago,Database Activity Monitoring - L1 Job Description Job Responsibility: Pla...,"Report generation, Linux, Security management, SOC, Analytical, database security, Database, Archiving"
Principal Analyst - FP&A,Anheuser Busch InBev,Bengaluru,4-6 Yrs,3+ weeks ago,Reporting and Analysis: . Custodian and driver of Variable Logistics Costs & ZBB for Be...,"Procurement, Supply chain, ERP, Data management, Cognos, MIS, MS Office, Project delivery"
Analyst - Internal Reporting,Barclays,"Noida, Chennai",0-9 Yrs,1 day ago,"Join us as Financial Control Analyst at Barclays, where youll spearhead the evolution ...","Analyst, SAP, Data management, Financial reporting, Project management, Scrum, Business intelligence, Continuous improvement"
Record To Report Ops Analyst,Accenture,Bengaluru,3-5 Yrs,1 day ago,Qualifications: BCom / Any Graduation Skill required: Record To Report - Account Reconc...,"accounts reconciliation, python, sql, stakeholder management, record to report, data analytics, data management, service operations"
BX Reporting CoE - Analyst,Barclays,Chennai,0-9 Yrs,1 day ago,"Join Barclays as a BX Reporting CoE - Analyst role, where to provide data governance ex...","Analyst, Analytical, Finance, Service excellence, data governance, Financial risk management, Continuous improvement, Operations"
MIS Executive,Super Scholar,Noida,1-3 Yrs,1 day ago,"Skills & Qualifications . Must-Have: Bachelors degree in Business Administration, Infor...","Data analysis, ERP, Operational excellence, Analytical, Budgeting, Business intelligence, Forecasting, Operations"
Reporting Analyst I,Mr. Cooper Group,Chennai,1-2 Yrs,1 day ago,Preferred Skills: Knowledge of statistical tools and techniques. Qualifications: 1-2 ye...,"Data analysis, Excel, Reporting Analyst, Analytical, Data collection, data visualization, Business intelligence, Reporting tools"
MIS Executive,Super Scholar,Bengaluru,1-5 Yrs,1 day ago,"Bachelor s degree in Business Administration, Commerce, Finance, or a related field. Pr...","Data analysis, ERP, SAP, Operational excellence, Data management, Analytical, Budgeting, Oracle"
Qualtrics analyst,Strada,"Hyderabad, Gurugram",3-8 Yrs,5 days ago,Our team s experience in human insights and cloud technology gives companies and employ...,"Text mining, Training, Payroll, Application support, Diversity and Inclusion, Manager Technology, Management, Continuous improvement"
Deal Desk Analyst,Vonage Business Communication,Bengaluru,5-10 Yrs,4 days ago,"Required: . Bachelors degree in Business, Economics, Finance or Accounting . 5+ years i...","Sales, Analytical, Cloud, Customer engagement, Stakeholder management, Operations, digital transformation, Monitoring"
HPLC Analyst,Arbro Pharmaceuticals,Bahadurgarh,2-6 Yrs,4 days ago,"Must have worked analytical lab. . 2, Knowledge of HPLC, . Knowledge of caliberation an...","HPLC, FG, UV, Chemical Analysis, IR, High Performance Liquid Chromatography, Wet Analysis, Analytical Chemistry"
Deal Desk Analyst,Autorabit,Hyderabad,2-3 Yrs,5 days ago,"Work Timings: PST Hours, Night Shift Deep understanding of SaaS and subscription pricin...","Analytical skills, metadata, Sales, Version control, Senior Analyst, Analytical, SAAS, Salesforce.com"
Sr FP&A Analyst,Snow Planet,Hyderabad,2-7 Yrs,6 days ago,The preferred candidate will have experience partnering with cross-functional teams and...,"OPEX, Operational excellence, Senior Financial Analyst, Analytical, Financial planning, power bi, Forecasting, Operations"
Privacy Analyst,Reuters,Bengaluru,2-5 Yrs,6 days ago,"Bachelor s degree in Law, Information Technology, Business, or a related fieldMake an i...","General Counsel, Career development, HP data protector, Senior Analyst, Analytical, Consulting, data privacy, Taxation"
Analyst,Merkle Science,Pune,1-2 Yrs,5 days ago,"The purpose of this role is to provide support for the collection, analysis, and dissem...","Analyst, data science, Analytics, Data, Science, Analysis"
Analyst,Merkle B2b,Pune,0-2 Yrs,5 days ago,Time Type: Full time,"financial analysis, python, data analysis, data analytics, natural language processing, investment banking, business analysis, analysis"
Analyst - Immunization,Clinton Health Access Initiative (CHAI),"Bhagalpur, Muzaffarpur, Patna, Gaya",2-7 Yrs,6 days ago,"The Clinton Health Access Initiative, Inc. (CHAI) is a global health organization commi...","Supply chain, Computer science, Pharma, Analytical, Project management, Consulting, Healthcare, Analytics"
Analyst,Center Study Science Technology Policy,Bengaluru,2-7 Yrs,6 days ago,. Masters or Bachelors degree in engineering,"Economics, Chemical, Literature, Simulation, Analytical, Mechanical, Data collection, Application Analyst"
Record To Report Ops Specialist,Accenture,Gurugram,7-12 Yrs,1 week ago,Skill required: Record To Report - Account ReconciliationsBecause the reconciliation ac...,"accounts reconciliation, project management, accounting, reporting and analytics, record to report, financial analysis, data management, forecasting"
MIS Executive,Club Oxygen,"Kochi, Mumbai, Chandigarh, New Delhi, Lucknow, Thrissur, Chennai, Ahmedabad, Jaipur, Bengaluru",1-2 Yrs,3+ weeks ago,"Skills required Proficient in MS office - especially - Excel, Good Analytical & Communi...","Vice President Marketing, Report generation, Data analysis, Excel, System maintenance, MIS, Analytical, Management"
MIS Executive,Club Oxygen,"Kochi, Mumbai, Chandigarh, New Delhi, Lucknow, Thrissur, Chennai, Ahmedabad, Jaipur, Bengaluru",1-2 Yrs,3+ weeks ago,"Skills required Proficient in MS office - especially - Excel, Good Analytical Communica...","Vice President Marketing, Report generation, Data analysis, System maintenance, MIS, Analytical, Management, MS Office"
Mis Executive,Paranjape Schemes Construction,Pune(Prabhat Road),2-5 Yrs,3 weeks ago,"Preferred candidate profile : . Bachelors degree in Marketing, Communications, Business...","Sales Analysis, MIS Preparation, Sales Mis, MIS Operations, MIS Reporting, Sales Review, Monthly Reports, Sales Report"
Research Analyst,AB,Pune,2-7 Yrs,3 weeks ago,"Excellent financial analysis and modeling skills Strong quantitative background, excell...","Industry research, Data validation, Financial reporting, Asset liability management, Financial analysis, investment portfolio, Analytical, Investment management"
"ISS MI, Analyst, Research Production Services",ISS Corporate Solutions,Mumbai,1-2 Yrs,3+ weeks ago,Candidates should have: . An undergraduate or graduate degree from a well-recognized un...,"Automation, Data management, Wealth management, Senior Analyst, Mutual funds, Analytical, Data collection, Forecasting"
Record To Report Ops Analyst,Accenture,Gurugram,3-7 Yrs,2 weeks ago,Skill required: Record To Report - Intercompany Account Reconciliation,"service operations, vlookup, reporting analysis, record to report, financial reporting, hlookup, macros, data analysis"
MIS Analyst,IntouchCX,Hyderabad,3-5 Yrs,2 weeks ago,About the JobThe MIS Analyst is an integral role within Global Service Desk and is resp...,"MIS, hlookup, bi, vlookup, dashboards, business intelligence, sql, bi tools"
MIS Executive,T&N Business Services,Gurugram,1-4 Yrs,3+ weeks ago,. Should be able to work under pressure and be able to manage the team Conduct data and...,"Payroll processing, Data validation, Excel, Sales, Analytical, Conditional formatting, Metrics analysis, Management reporting"
MIS Analyst,RUDRA ANLYTICS,Pune,1-6 Yrs,3+ weeks ago,Qualification: Masters in Human Resources Management Experience required: 1+ years Cand...,"MIS reporting, Visual Basic, Data collection, Advanced Excel, Management, Macros, Operations, MIS Analyst"
MIS Executive,Aryan Imaging & Business Consultants,"Pune, Pune",3-4 Yrs,3+ weeks ago,Position Objectives To maintain all data related to the process. To capture and ana...,"data base, process, data analysis, analytical, circulation, outlook, maintaining, reporting"
Research Analyst,Immverse,Nagpur,0-3 Yrs,3 weeks ago,"Bachelor s / Master s degree in Business, Finance, Data Science, or a related field Goo...","Automation, Excel, Analytical, Report writing, Machine learning, power bi, Data analytics, data visualization"
Reporting Analyst,Fusion Plus Solutions,Hyderabad,2-4 Yrs,3+ weeks ago,. Job Summary: We are seeking a skilled Reporting Analyst with experience in Alteryx to...,"hlookup, macros, data analysis, data analytics, mis reporting, data validation, power bi, pivot table"
MIS Executive,Topline Industries,Patna,1-2 Yrs,3+ weeks ago,"Experience: . Well versed in advanced MS Excel (Knowledge of Vlookup, Pivot and Shortcu...","Report generation, Data analysis, System maintenance, MIS, VLOOKUP, Analytical, Management, Accounting software"
MIS Executive,1Point1,Mumbai,0-3 Yrs,3+ weeks ago,Excellent analytical . Good knowledge of the web applications and their functioning (In...,"MIS reporting, Data analysis, Excel, Team management, MIS, Process improvement, Analytical, Internet searching"
Research Analyst,L&h Technocom,Udaipur,1-3 Yrs,3+ weeks ago,"Manage data as per client-specific requirement, while at the same time adhering to Morn...","Data analysis, Project reports, Manager Quality Assurance, Excel, Data management, Analytical, Cash flow statement, Continuous improvement"
MIS Executive Position,Pioneer E Solutions,Gurugram,2-3 Yrs,3+ weeks ago,"Develop and maintain daily, weekly and monthly MIS data. Create and maintain daily op...","Data analysis, Data validation, System maintenance, MIS, VLOOKUP, Analytical, Conditional formatting, microsoft"
MIS Executive,1Point1,Mumbai,5-8 Yrs,3+ weeks ago,Excellent analytical . Good knowledge of the web applications and their functioning (In...,"MIS reporting, Data analysis, Excel, Team management, MIS, Process improvement, Analytical, Internet searching"
Research Analyst,Esg Risk Assessments & Insights,Mumbai,1-3 Yrs,3+ weeks ago,The candidate should have a fair understanding of the economic & financial factors affe...,"Health insurance, Interpersonal skills, Quantitative research, Analytical, Report writing, Trend analysis, Financial Analyst, Research"
Mis Executive - Thane,Homesfy,Thane,4-5 Yrs,3+ weeks ago,"Last year we grew by more than 400+ motivated team members, and Homesfy has been the pr...","Business administration, NSE, Report generation, Data analysis, Excel, MIS, Analytical, data integrity"
Analyst - Economic Research,GD Research Center (GDRC),Hyderabad,1-3 Yrs,3+ weeks ago,Expertise in usage of databases like CEIC / HAVER / Bloomberg / Reuters Should be invol...,"Analytical skills, Excel, Bloomberg, Senior Analyst, Report writing, Healthcare, Economic research, Research"
MIS EXECUTIVE,Loom Solar,Palwal,1-4 Yrs,3+ weeks ago,"Bachelors degree in Commerce, IT, or a related field","MIS reporting, Data analysis, Excel, VLOOKUP, Analytical, Commerce, Management, Reporting tools"
MIS Executive,RD Trinitas,Pune,1-6 Yrs,3+ weeks ago,"Proficient in preparing and managing daily, weekly, and monthly MIS reports and dashboa...","Analytical skills, MIS reporting, SUB, Excel, Sales, Trend analysis, Management, Operations"
MIS Executive,Maynor Consulting,Noida,3-8 Yrs,3+ weeks ago,About the Role: We are looking for a skilled and proactive MIS Executive with str...,"Computer science, Data analysis, SAP, MIS, Workflow, Oracle, Business intelligence, Information technology"
Inventory Audit and MIS analyst,Medanta,Gurugram,1-3 Yrs,3+ weeks ago,"Bachelor s degree in any fieldProven experience in data analysis, auditing, and MIS rep...","MIS reporting, Procurement, Data analysis, Supply chain management, ERP, SAP, Analytical, Risk management"
Research Analyst,CC COMMODITY INFO SERVICES LLP.,"Mumbai, Mumbai",2-7 Yrs,3+ weeks ago,The job involves research and analysis of commodity markets spot and futures as well ...,"domestic, reports, markets, research and analysis, analytical, research analyst, futures, commodity markets"
SQL Report Writer / Analyst,Iprime Services,Noida,2-3 Yrs,3+ weeks ago,. Must be able to develop complex views and stored procedures . Research required dataP...,"Data analysis, Business objects, PDF, Aviation, MIS, Analytical, Cognos, Trend analysis"
MIS Executive,Global Education,Mumbai,0-3 Yrs,3+ weeks ago,Education Criteria - Any Graduate / Post Graduate,"Report generation, Data analysis, Customer management, System maintenance, MIS, Analytical, Management, Operations"
MIS Executive,Aryan Imaging & Business Consultants,Pune,2-4 Yrs,3+ weeks ago,Qualification: Graduate,"te, process, data analysis, analytical, circulation, data se, reporting, coordination"
Hiring For Presentation Analyst in Noida,Shadow Placements,"Hybrid - Noida, New Delhi, Gurugram",2-7 Yrs,3 weeks ago,This is NOT a Business / Data Analyst role Minimum 3 Years Exp in a similar role Excell...,"Presentation analyst, Powerpoint, Excel, Business Development, Insights, Business Analytics, Tableau, Reporting"
Data Scientist,Leading Client,Hyderabad,5-10 Yrs,1 day ago,More than 5 years of experience working in Power BI developement projects. Hands on exp...,"bi, power bi, power query, report builder, dax, python, data analysis, data analytics"
GFCC Detect/Report Specialist,JPMorgan Chase Bank,Hyderabad,4-10 Yrs,1 day ago,Qualified graduate with minimum of 4 years of relevant experience in Global Financial C...,"Analytical skills, Data analysis, Quality improvement, Quality standards, Compliance, Anti money laundering, Investigation, Management"
GFCC Detect/Report Specialist,JPMorgan Chase Bank,Hyderabad,2-6 Yrs,1 day ago,Qualified graduate with 2 to 6 years of relevant experience in Global Financial Crime C...,"Analytical skills, Data analysis, Quality improvement, Quality standards, Compliance, Finance, Anti money laundering, Investigation"
GFCC Detect/Report Specialist,JPMorgan Chase Bank,Hyderabad,3-7 Yrs,1 day ago,Qualified graduate with minimum of 4 years of relevant experience in Global Financial C...,"Analytical skills, Data analysis, Quality improvement, Quality standards, Compliance, Anti money laundering, Investigation, Management"
Reporting Gen Ai Developer,Pepsico,Hyderabad,7-9 Yrs,1 day ago,Consult with the Data & Analytics team and Reporting Factory developers to build the re...,"python, artificial intelligence, sql, tensorflow, pytorch, data analysis, data analytics, natural language processing"
Research Analyst,Crisil,"Pune, Gurugram",1-3 Yrs,6 days ago,Sample testing is for the public and liquid onlyRequirements: . Master s degree in fina...,"financial analysis, nav, data analysis, modeling, analytical, credit analysis, credit risk, bloomberg"
Analyst - MIS,Avontix,Hyderabad,1-6 Yrs,5 days ago,Requirements: . Min 1+ years of experience as MIS Executive on papers is requiredWe are...,"Data analysis, Workforce management, Matrix, MIN, Excel, Senior Analyst, Analytical, Data analytics"
Record To Report Ops Analyst,Accenture,Gurugram,3-5 Yrs,6 days ago,Skill required: Record To Report - Accounting & Financial Reporting StandardsSkill requ...,"accounting, fpa, record to report, financial planning, financial planning and analysis, balance sheet, service operations, forecasting"
Research Analyst,Crisil,Pune,1-3 Yrs,5 days ago,The successful candidate should have at least 3 years of experience in valuations and m...,"Data analysis, Excel, Bloomberg, Financial analysis, Analytical, Finance, Financial statement analysis, Credit analysis"
Research Analyst,Crisil,"Mumbai, Pune",1-3 Yrs,5 days ago,Our esteemed buy-side client is currently looking for a highly skilled and experienced...,"Data analysis, Due diligence, Bloomberg, Financial analysis, Analytical, Finance, Venture capital, Credit analysis"
"Media Buyer & Analyst ( Part-Time, Home Services )",Uplers,"Mumbai, New Delhi, Bengaluru",5-7 Yrs,2 weeks ago,Shift : (GMT+05:30) Asia / Kolkata (IST) Placement Type : Part Time Contract for 12 Mon...,"facebook ads, google ads, strategy development, google analytics, project management tools, performance marketing, digital marketing, project management"
FP&A Analyst,Snow Planet,Hyderabad,1-5 Yrs,1 week ago,"The preferred candidate will have experience partnering with cross-functional teams, ma...","OPEX, Operational excellence, Sales operations, Senior management, Analytical, Reconciliation, Financial planning, Forecasting"
Analyst HPLC/GC (Immediate Joining),Sipra Labs,Hyderabad/Secunderabad(Sanath Nagar),2-7 Yrs,1 week ago,"Roles and ResponsibilitiesConduct analytical testing using HPLC, GC, UV-Vis, ICP-MS, LC...","GC, HPLC, LCMS, GC-MS, uv, analytical, Icp-Ms, UV-VIS"
Zuora Analyst,Grazitti Interactive,Panchkula,4-8 Yrs,1 week ago,Familiarity with REST and SOAP APIs. Zuora Admin or Developer CertificationThe ideal ca...,"jQuery, Billing, Debugging, Javascript, Data quality, Analytics, SQL, Data extraction"
Programmer/Analyst 4,Lam Research,Bengaluru,8-13 Yrs,1 week ago,Recruiting (Must have). Onboarding 0 & 0 (Must have). Preferred Qualifications . . Our ...,"Administration Manager, Payroll, Data migration, Production support, Coding, System support, Debugging, Flex"
Bioassay analyst,Syngene,Bengaluru,2-6 Yrs,1 week ago,The candidate shall be willing to work in shifts. Role Accountabilities: . Shall develo...,"Procurement, EHS, Spectroscopy, LMS, Senior Analyst, Analytical, Biochemistry, GMP"
Adops - Analyst,Omnicom Media Group,Chennai,2-4 Yrs,1 week ago,"Capability to gather and analyze complex data, providing insight related to analytics a...","digital marketing, life cycle, adwords, google adwords, consulting, google, market research, microsoft"
Analyst,Center Study Science Technology Policy,Bengaluru,0-2 Yrs,1 week ago,. Masters or Bachelors degree in engineering,"Economics, Chemical, Literature, Simulation, Analytical, Mechanical, Data collection, Application Analyst"
Analyst,Goldman Sachs,Bengaluru,1-4 Yrs,1 week ago,Please note that our firm has adopted a COVID-19 vaccination requirement for employees ...,"Financial control, Analytical, Wellness, HTML, Investment banking, Asset management, Investment management, Training and Development"
Analyst,eClerx,Mohali,0-3 Yrs,1 week ago,Experience working with large datasets and developing complex reports,"data analysis, it services, sql, data integration tools, data visualization, python, oracle, data analytics"
